N     X           Y            Z
486   -0.516706    -2.918096    3.568567
487   -2.351250    -1.885962    -2.534756
488   -0.516731    4.574833    0.566424
489   -0.430189    -4.026051    0.794747
490   -0.889134    2.220001    -3.131161
491   -0.889114    -3.767854    -0.732046
492   1.402769    0.930552    4.493735
493   -0.430215    3.460995    -2.205039
494   1.402765    2.429741    3.893065
495   -1.221576    -3.935588    0.193721
496   0.895543    1.789429    4.466158
497   -1.221600    2.980555    -2.577326
498   -1.092706    1.774226    4.428231
499   -2.869751    -3.031179    0.842077
500   -2.869772    2.774021    -1.483856
501   -1.052276    -1.690438    4.470273
502   -3.173237    -1.425942    -2.213805
503   -1.336611    4.469375    1.120468
504   -1.336588    -2.459260    3.896520
505   -3.173240    -0.497162    -2.585934
506   -1.052296    4.309417    2.066350
507   -3.850500    -1.773857    -0.375732
508   -2.067254    0.020379    4.436093
509   -2.923609    -2.295335    2.707934
510   -2.923628    3.530091    0.373897
511   -3.850511    1.023656    -1.496593
512   -2.067264    3.048294    3.222919
513   -3.680963    -1.623140    1.324026
514   -2.544848    1.449094    3.616757
515   -3.680976    2.088290    -0.163009
516   -3.444298    -1.445851    2.706857
517   -4.209352    0.846085    -0.584210
518   -4.209345    -1.015429    0.161631
519   -2.874465    0.095066    3.856805
520   -2.874472    2.594276    2.855464
521   -3.444312    2.914872    0.959675
